iter	RMSE
144	1.029669274
145	1.028680011
146	1.027964673
147	1.027120859
148	1.026722802
149	1.026164757
150	1.025019509
151	1.023943599
152	1.022930938
153	1.022305408
154	1.0210596
155	1.020660668
156	1.020554404
157	1.019874283
158	1.019585138
159	1.018881352
160	1.018577292
161	1.018147898
162	1.017302714
163	1.016413314
164	1.015882137
165	1.015680707
166	1.015056416
167	1.014675662
168	1.014425196
169	1.013709047
170	1.013346302
171	1.013088604
172	1.012208907
173	1.011538594
174	1.011289944
175	1.011119656
176	1.010156063
177	1.009897846
178	1.008334392
179	1.008176355
180	1.007710697
181	1.007436135
182	1.00721846
183	1.006634993
184	1.006438901
185	1.006101741
186	1.005568134
187	1.005347728
188	1.005138887
189	1.004805531
190	1.00369254
191	1.003415973
192	1.003224515
193	1.002655484
194	1.002493618
195	1.002018223
196	1.001703877
197	1.001334026
198	1.001059029
199	1.000008156
200	0.9999213875
201	0.9994269726
202	0.9992866828
203	0.9983893184
204	0.9982567761
205	0.9979146968
206	0.9976455248
207	0.9974386847
208	0.9971880206
209	0.9968675362
210	0.9965125509
211	0.9957569687
212	0.9952846557
213	0.9948228072
214	0.9947741481
215	0.9945124549
216	0.9939853671
217	0.9935231361
218	0.9934700642
219	0.9931496124
220	0.9927612057
221	0.9922961042
222	0.9921520169
223	0.99185816
224	0.9914631576
225	0.9914012031
226	0.9909651304
227	0.9905451929
228	0.9903672602
229	0.9893776639
230	0.9891841811
231	0.9885837207
232	0.9883845798
233	0.9879729601
234	0.9873808149
235	0.9859353528
236	0.9856557759
237	0.9848399311
238	0.9847095616
239	0.9841240333
240	0.9839264958
241	0.9835538567
242	0.9828821397
243	0.9824987166
244	0.9823290088
245	0.9811035437
246	0.9805585242
247	0.9793107584
248	0.9787612865
249	0.9774647338
250	0.9770163893
251	0.9767937222
252	0.9764232954
253	0.9753482718
254	0.974681774
255	0.9736014297
256	0.973268204
257	0.9727260112
258	0.9721707925
259	0.9718800498
260	0.9712265311
261	0.9711050816
262	0.970700573
263	0.9704637062
264	0.9700557474
265	0.9693880335
266	0.9688692944
267	0.9687499549
268	0.9682566603
269	0.9675787152
270	0.9669816667
271	0.9659810752
272	0.9649886499
273	0.9648638233
274	0.9641184625
275	0.9637290675
276	0.9634079081
277	0.9630536993
278	0.9627110785
279	0.9624728311
280	0.9616196311
281	0.9614347679
282	0.9604023331
283	0.9601445724
284	0.9589603307
285	0.9582169232
286	0.9578833036
287	0.957667362
288	0.9575951157
289	0.9574357037
290	0.9570532082
291	0.9565457227
292	0.9559120658
293	0.9557516502
294	0.9554213591
295	0.954772182
296	0.9540416357
297	0.9537107548
298	0.9534555879
299	0.952938629
300	0.9526773661
301	0.9522330263
302	0.9516636237
303	0.9509411881
304	0.9508003214
305	0.9501729504
306	0.9499489307
307	0.9492911263
308	0.9489691405
309	0.9484169972
310	0.9470347267
311	0.9459626808
312	0.9458400295
313	0.9454271562
314	0.9449157442
315	0.9439086555
316	0.9428479543
317	0.9424868841
318	0.9415620829
319	0.9414053202
320	0.941241031
321	0.9409078643
322	0.9407498182
323	0.9403175713
324	0.940165359
325	0.9397631796
326	0.9391328185
327	0.9375543722
328	0.936668527
329	0.935554246
330	0.9349851297
331	0.934723532
332	0.9343427594
333	0.9338400048
334	0.933356759
335	0.9329996723
336	0.9326048527
337	0.9321150855
338	0.9317106551
339	0.9309940293
340	0.9305269137
341	0.930223998
342	0.9301937593
343	0.9291670626
344	0.9287372107
345	0.9285876855
346	0.9284478977
347	0.9278911739
348	0.9274998647
349	0.9270729238
350	0.9263063924
351	0.9262552703
352	0.9259633707
353	0.9255349347
354	0.9250404748
355	0.9245915221
356	0.9237003266
357	0.923123609
358	0.9221498462
359	0.9213331207
360	0.9212076607
361	0.92074279
362	0.9203261557
363	0.920026541
364	0.9198107998
365	0.9191589238
366	0.91874445
367	0.9181601219
368	0.91785078
369	0.9168769321
370	0.9167467734
371	0.9164216825
372	0.9163974368
373	0.9162308321
374	0.915676878
375	0.9153366625
376	0.9145529925
377	0.9140695464
378	0.9137568798
379	0.9132242543
380	0.9123395105
381	0.9117993846
382	0.9112960626
383	0.9109548668
384	0.9104389184
385	0.9103261696
386	0.9098095954
387	0.9093205141
388	0.9090065908
389	0.9083996955
390	0.9076301304
391	0.9074332159
392	0.9070552975
393	0.9061418704
394	0.9058617733
395	0.9045649982
396	0.9042220234
397	0.9037101872
398	0.9036298544
399	0.9031592663
400	0.9028249333
401	0.9028049849
402	0.9023200922
403	0.9016755771
404	0.9013638187
405	0.9012719806
406	0.9010073787
407	0.9005723062
408	0.9001268293
409	0.8998282133
410	0.8991470493
411	0.8990185746
412	0.8986827609
413	0.8983814785
414	0.8972471309
415	0.8965681254
416	0.8959832188
417	0.8947751844
418	0.8943922907
419	0.8938581528
420	0.8931534094
421	0.8928576814
422	0.8921642064
423	0.8916193328
424	0.8912745259
425	0.8907219167
426	0.8907021831
427	0.8905695173
428	0.8901915533
429	0.8901731631
430	0.8897699081
431	0.8895783759
432	0.8887525897
433	0.8882637203
434	0.8879102167
435	0.8875545684
436	0.8873751071
437	0.8873543651
438	0.8865705306
439	0.886052278
440	0.8853360094
441	0.8848661195
442	0.8838913967
443	0.8836530904
444	0.8828122863
445	0.8825295603
446	0.8820675314
447	0.8818594569
448	0.8814370363
449	0.8807299779
450	0.8802763309
451	0.8800389429
452	0.8796192354
453	0.8795927585
454	0.8789693126
455	0.878643355
456	0.8783670258
457	0.8777529711
458	0.8769101954
459	0.8758600378
460	0.8753574088
461	0.8749449331
462	0.87445815
463	0.8743315947
464	0.8738059112
465	0.8734999828
466	0.8732406707
467	0.8722089235
468	0.8718172934
469	0.8714564499
470	0.8710911442
471	0.8706139478
472	0.8705242806
473	0.8697663973
474	0.8695831798
475	0.8691885214
476	0.8687022061
477	0.8682740274
478	0.8678123212
479	0.8672060299
480	0.8670808674
481	0.8668566002
482	0.8659865158
483	0.8655084162
484	0.865304913
485	0.8645528245
486	0.864533311
487	0.8638711817
488	0.8637460859
489	0.8634437948
490	0.8631620973
491	0.8628142035
492	0.862271598
493	0.8620988556
494	0.861502069
495	0.8609314219
496	0.8603112165
497	0.8597086438
498	0.8591421364
499	0.8587529324
500	0.8585890648
501	0.858570535
502	0.8579071941
503	0.8574726066
504	0.8570484227
505	0.856570621
506	0.8562632301
507	0.856144235
508	0.8559924329
509	0.8559743706
510	0.8558056649
511	0.8553241836
512	0.855026094
513	0.854537017
514	0.854106419
515	0.853667224
516	0.8532215291
517	0.8529751509
518	0.8527436355
519	0.8522766771
520	0.8519232409
521	0.8518294018
522	0.85181287
523	0.8513770669
524	0.8511446661
525	0.8509431113
526	0.85067669
527	0.8501509145
528	0.8497825784
529	0.8496600607
530	0.8491098064
531	0.848957902
532	0.8482270905
533	0.8477694927
534	0.8475456623
535	0.8474647733
536	0.8470961781
537	0.8462638687
538	0.8459442704
539	0.845917565
540	0.8452746645
541	0.8446740251
542	0.8446575569
543	0.8443405054
544	0.8440002973
545	0.8435791989
546	0.8431934443
547	0.8429902508
548	0.8427930117
549	0.8420867446
550	0.8418805848
551	0.840965604
552	0.8403748329
553	0.8402114128
554	0.8399747535
555	0.8394983144
556	0.8391615803
557	0.8387446372
558	0.8385592247
559	0.8382534461
560	0.8379455064
561	0.8374969158
562	0.8370317374
563	0.8364885651
564	0.8359872186
565	0.8358726646
566	0.8352126966
567	0.8348238911
568	0.8342320377
569	0.8341399064
570	0.8340170079
571	0.8340045569
572	0.8335137096
573	0.833153323
574	0.8327356328
575	0.8323564945
576	0.8320108242
577	0.831642784
578	0.8313575515
579	0.8311240769
580	0.8307023139
581	0.830028074
582	0.8296928495
583	0.8293874121
584	0.8291591317
585	0.8288409417
586	0.8283161344
587	0.8274421108
588	0.8268056935
589	0.82628509
590	0.8256139277
591	0.8253116444
592	0.8248987764
593	0.8247128612
594	0.8243833815
595	0.8239616789
596	0.8234352078
597	0.8228028173
598	0.8224929535
599	0.8220518459
600	0.8217235933
601	0.8215278062
602	0.8210827598
603	0.8204540092
604	0.8204488789
605	0.8204297126
606	0.8201762097
607	0.8197882583
608	0.8194727006
609	0.8191920964
610	0.8190043379
611	0.818323931
612	0.8180984635
613	0.8179159661
614	0.817539959
615	0.8175187925
616	0.8173744996
617	0.8173682616
618	0.8169380515
619	0.8167312502
620	0.8163648943
621	0.8159729911
622	0.8156518322
623	0.8154362002
624	0.8153715279
625	0.8151193496
626	0.8146242471
627	0.8139756994
628	0.8138892617
629	0.8137965879
630	0.8130769936
631	0.8127013103
632	0.8122890741
633	0.8118424558
634	0.811686231
635	0.8112749729
636	0.8111278697
637	0.8106366642
638	0.810279786
639	0.8101297195
640	0.8093889654
641	0.8091065733
642	0.8083970944
643	0.8081507029
644	0.8077195781
645	0.8073924939
646	0.8067439707
647	0.8064603357
648	0.8059161275
649	0.8056125264
650	0.8052713828
651	0.8047503397
652	0.8041657865
653	0.8039618433
654	0.8034384009
655	0.8028453739
656	0.8025978431
657	0.8023981965
658	0.8023857317
659	0.8019033374
660	0.8013416299
661	0.8010228252
662	0.800736548
663	0.8006743398
664	0.80043962
665	0.8000260393
666	0.7994970162
667	0.7991650504
668	0.7985698361
669	0.7980881149
670	0.7979772851
671	0.797587636
672	0.7971789855
673	0.7970267554
674	0.7963440415
675	0.7961613385
676	0.7959837846
677	0.7959474224
678	0.7953692568
679	0.7951752862
680	0.7948832446
681	0.7944547381
682	0.7938381471
683	0.7934262468
684	0.7934188774
685	0.7933163219
686	0.7929306733
687	0.7923959949
688	0.792041599
689	0.7918325343
690	0.7916687906
691	0.7912808698
692	0.7907757342
693	0.7904434638
694	0.7902538814
695	0.7898068119
696	0.7894684182
697	0.7891519175
698	0.7888422834
699	0.7882374357
700	0.7879610825
701	0.7877523108
702	0.7870809574
703	0.7865678377
704	0.7862662633
705	0.786002837
706	0.7855570786
707	0.7854317286
708	0.7852961387
709	0.7852300872
710	0.7850343919
711	0.7847798058
712	0.7845864686
713	0.7843706874
714	0.7840873979
715	0.7840809566
716	0.7840741275
717	0.784012435
718	0.7837563383
719	0.7830293658
720	0.7826018953
721	0.7825558151
722	0.7824668562
723	0.7821390138
724	0.7817823752
725	0.7817744346
726	0.7813707629
727	0.780848255
728	0.7803710106
729	0.7801742395
730	0.7801683422
731	0.7794547151
732	0.7791334866
733	0.7789034652
734	0.7788085469
735	0.7783243119
736	0.7782616232
737	0.7779683534
738	0.7774093056
739	0.7770491219
740	0.7767475491
741	0.776097955
742	0.7760375918
743	0.7758352823
744	0.7755184537
745	0.7752423216
746	0.7750840111
747	0.7747792886
748	0.7745317629
749	0.7743427524
750	0.7738329712
751	0.773404795
752	0.7726936109
753	0.7722999056
754	0.7720238026
755	0.771823496
756	0.7715556658
757	0.7715522012
758	0.7711608714
759	0.7708745793
760	0.7708090834
761	0.7705156034
762	0.7702550189
763	0.7698155359
764	0.7698038054
765	0.7693735402
766	0.7690371251
767	0.7687354226
768	0.7684136907
769	0.7679056526
770	0.7676542181
771	0.7674507804
772	0.7670846678
773	0.7670553205
774	0.7669248511
775	0.7667143943
776	0.7661897319
777	0.7657160237
778	0.7655349717
779	0.7654399116
780	0.7652679393
781	0.7651583574
782	0.7651405519
783	0.7649657612
784	0.7645995206
785	0.7641369928
786	0.7640801637
787	0.7639113941
788	0.7632032013
789	0.7629194912
790	0.762692201
791	0.7624550902
792	0.7620868069
793	0.7619494785
794	0.7616188173
795	0.7612587433
796	0.7608345688
797	0.7607555555
798	0.7602867487
799	0.7600049589
800	0.7597194256
801	0.7594990023
802	0.7594718246
803	0.7594647058
804	0.7594603884
805	0.7592376244
806	0.7590379666
807	0.7585782534
808	0.7585121849
809	0.7582288772
810	0.758047264
811	0.7575254346
812	0.7570887859
813	0.7567042991
814	0.7566337672
815	0.7562485089
816	0.7558793109
817	0.755623414
818	0.7555431736
819	0.7551768025
820	0.7551648602
821	0.7549357349
822	0.7546473987
823	0.7540901029
824	0.7538091357
825	0.7537624606
826	0.7537579728
827	0.7536256869
828	0.7534934771
829	0.7533267415
830	0.753317423
831	0.752945699
832	0.7528300893
833	0.7524808885
834	0.7524715017
835	0.7523933105
836	0.7520641635
837	0.7519618988
838	0.7513970282
839	0.751078117
840	0.7507773325
841	0.7505364928
842	0.7503114688
843	0.7499150652
844	0.7494825169
845	0.7490911991
846	0.7489754195
847	0.748676393
848	0.748313517
849	0.7480807109
850	0.7477874011
851	0.7475478174
852	0.7471889499
853	0.7470305972
854	0.7468417374
855	0.7465102511
856	0.7462781608
857	0.745832063
858	0.7456390331
859	0.7456103191
860	0.7449288593
861	0.7443937757
862	0.7438829569
863	0.7435019649
864	0.7434244655
865	0.7429316398
866	0.7424824893
867	0.7422373266
868	0.7416753615
869	0.7412258387
870	0.7410529498
871	0.7410488398
872	0.7406970428
873	0.7404665332
874	0.7401321632
875	0.7395816179
876	0.7395327388
877	0.7394886961
878	0.7393317985
879	0.73910398
880	0.7387023918
881	0.7385981702
882	0.7384477253
883	0.7380728687
884	0.7377749525
885	0.7376728633
886	0.7370665779
887	0.7367562285
888	0.7365947519
889	0.7364734536
890	0.7364657332
891	0.736181201
892	0.7360412003
893	0.7359866741
894	0.7354187986
895	0.7352307302
896	0.7347998565
897	0.7345220852
898	0.7345165397
899	0.734334713
900	0.7338939779
901	0.7337386651
902	0.7333767303
903	0.7328819561
904	0.7325652079
905	0.7322619969
906	0.7319205752
907	0.7317110152
908	0.7313871728
909	0.7311851035
910	0.7307588108
911	0.7304686785
912	0.7301968225
913	0.7299013239
914	0.729545754
915	0.7293613599
916	0.7293018099
917	0.7291236539
918	0.7291211166
919	0.7288192661
920	0.7283746945
921	0.7281511223
922	0.7279282382
923	0.7276910173
924	0.7274963391
925	0.7273605551
926	0.7272834713
927	0.7271286664
928	0.7270752143
929	0.7270287429
930	0.7268685234
931	0.7267754025
932	0.7265574946
933	0.7263235992
934	0.726315849
935	0.7261680102
936	0.7257074168
937	0.7251488949
938	0.7250276963
939	0.7250126358
940	0.7246431015
941	0.7243987184
942	0.7242058975
943	0.7237633486
944	0.7237023287
945	0.7236453076
946	0.7233467024
947	0.7232658911
948	0.7229726462
949	0.7227396168
950	0.7224790951
951	0.7224263428
952	0.722237744
953	0.7221297314
954	0.7217558393
955	0.7213667955
956	0.7211844884
957	0.721179679
958	0.7209209604
959	0.7207228274
960	0.7204424557
961	0.7204142784
962	0.7202055122
963	0.7200564954
964	0.7199927669
965	0.7197832036
966	0.7196205896
967	0.7195114386
968	0.7194206434
969	0.7192629817
970	0.7190544574
971	0.719047584
972	0.7188872083
973	0.7186404441
974	0.7181318859
975	0.7180898197
976	0.7178332757
977	0.7174190575
978	0.7172439305
979	0.7171831191
980	0.7171794388
981	0.7168752911
982	0.7166622571
983	0.7166587226
984	0.716324804
985	0.7159792233
986	0.7156664051
987	0.7154934963
988	0.7152021525
989	0.7149740794
990	0.7147932092
991	0.7147253555
992	0.7144262173
993	0.7141513379
994	0.7139165807
995	0.7136705251
996	0.7136326496
997	0.713447702
998	0.7131769886
999	0.7125437812
